5-YEAR FINANCIAL MODEL — Design-Led Desk Gear Brand,,,,,,,,,,,,,
Prepared 2026-06-26. Currency USD unless noted. FX assumption 1 USD = 1.42 CAD (verify - see Report 03 notes).,,,,,,,,,,,,,
All figures modeled from sourced unit economics (Report 03_sourcing). Volume ramp is an ASSUMPTION; widen uncertainty in later years.,,,,,,,,,,,,,
,,,,,,,,,,,,,
=== BLOCK A: UNIT ECONOMICS (per unit USD) ===,,,,,,,,,,,,,
Line,Shopify-DTC ($49),Walmart-WFS ($49),Blended 40/60,Notes,,,,,,,,,
Retail price (kit),49.00,49.00,49.00,Hero single sells ~$29; blended ASP used below is $42 (singles+kits+promo),,,,,,,,,
Landed cost,-11.49,-11.49,-11.49,EXW $7 + freight + 35% China duty + inbound (Report 03),,,,,,,,,
Gross profit,37.51,37.51,37.51,76.6% gross,,,,,,,,,
Platform/referral fee,-1.72,-3.92,-3.04,DTC payment 2.9%+0.30; Walmart 8% Office Products,,,,,,,,,
Fulfillment + outbound ship,-9.50,-3.45,-5.87,DTC pick/pack $3 + ship $6.50; WFS $3.45 all-in,,,,,,,,,
Returns allowance 5%,-2.45,-2.45,-2.45,Desk gear low-return,,,,,,,,,
Contribution BEFORE marketing,23.84,27.69,26.15,At $49. At blended $42 ASP ~ $20.10/unit (used in P&L),,,,,,,,,
Advertising allowance,-10.78,-5.88,-7.84,DTC 22% / Walmart 12% of rev,,,,,,,,,
Contribution AFTER marketing,11.06,21.81,18.31,DTC 22.6% / Walmart 44.5% margin,,,,,,,,,
,,,,,,,,,,,,,
STRESS TEST (price -10% to $44.10 AND cost +10% to $12.64),,,,,,,,,,,,,
Contribution after marketing (stressed),8.47,16.98,,Both channels stay POSITIVE. DTC 19.2% / Walmart 38.5%,,,,,,,,,
Breakeven price (stressed cost),~33-35,~24-26,,Price cushion ~$14 (DTC) to ~$23 (Walmart) before contribution=0,,,,,,,,,
,,,,,,,,,,,,,
=== BLOCK B: YEAR 1 MONTHLY P&L + CASH FLOW — BASE CASE ===,,,,,,,,,,,,,
Assumptions: blended ASP $42; contribution-before-marketing $20.10/unit; variable selling $10.40/unit; start cash $40000; founder takes no salary Y1.,,,,,,,,,,,,,
Phase 0 (M1-2 CA validation) | Phase 1 US entry M3-4 | Q4 ramp M10-11 | Jan reset M12,,,,,,,,,,,,,
Month,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
Units sold,50,90,150,230,320,430,520,600,720,950,1150,640
Revenue,2100,3780,6300,9660,13440,18060,21840,25200,30240,39900,48300,26880
Landed COGS (sold),-575,-1034,-1724,-2643,-3677,-4941,-5975,-6894,-8273,-10916,-13214,-7354
Gross profit,1525,2746,4576,7017,9763,13119,15865,18306,21967,28984,35086,19526
Variable selling costs,-520,-936,-1560,-2392,-3328,-4472,-5408,-6240,-7488,-9880,-11960,-6656
Contribution (pre-marketing),1005,1809,3015,4623,6432,8643,10452,12060,14472,19095,23115,12864
Marketing spend,-300,-300,-500,-500,-700,-1000,-1700,-2000,-2500,-4000,-5000,-2500
Fixed opex,-80,-80,-4800,-350,-350,-350,-400,-400,-400,-450,-450,-450
Operating profit,625,1429,-2285,3773,5382,7293,8352,9660,11572,14645,17665,9914
Inventory PO (cash out),-7800,0,0,-19700,0,0,0,-37200,0,0,0,0
Net cash flow,-6600,2464,-560,-13282,9062,12238,14332,-20640,19852,25570,30890,17274
Cumulative cash (start 40000),33400,35864,35304,22022,31084,43322,57654,37014,56866,82436,113326,130600
,,,,,,,,,,,,,
YEAR 1 BASE TOTALS,,,,,,,,,,,,,
Units,5850,,,,,,,,,,,,
Revenue,245700,,,,,,,,,,,,
Contribution (pre-mktg),117585,,,,,,,,,,,,
Marketing,-21000,,,,,,,,,,,,
Fixed opex,-8560,,,,,,,,,,,,
Operating profit,88025,,Net margin ~36% (no founder salary; outsourced ops),,,,,,,,,,
Lowest cash point,22022,Month 4 (US bulk import),With $30k start: ~$12k at M4 (still survives),,,,,,,,,,
,,,,,,,,,,,,,
=== BLOCK C: YEAR 1 — CONSERVATIVE & DOWNSIDE (annual) ===,,,,,,,,,,,,,
Metric,CONSERVATIVE (~60% vol),DOWNSIDE (~35% vol),,,,,,,,,,
Units,3510,2050,,,,,,,,,,
Blended ASP,42,40,,,,,,,,,,
Revenue,147420,82000,,,,,,,,,,
Contribution per unit (pre-mktg),20.10,18.50,Lower in downside: more discounting/CAC,,,,,,,,,
Contribution (pre-mktg),70551,37925,,,,,,,,,,
Marketing,-28000,-25000,Higher %: weak organic forces paid spend,,,,,,,,,
Fixed opex,-8560,-8560,,,,,,,,,,
Operating profit,33991,4365,Downside ~ cash-flow breakeven IF you stop spending,,,,,,,,,
Lowest cash point (start 40k),~9000,~6000,Downside thin; KILL CRITERIA territory (Report 06),,,,,,,,,
Verdict,Survives - slower path,Do NOT reinvest; hold or exit,,,,,,,,,,
,,,,,,,,,,,,,
=== BLOCK D: YEARS 2-5 ANNUAL — THREE SCENARIOS ===,,,,,,,,,,,,,
(Later-year figures carry WIDENING uncertainty; treat as directional toward the Grovemade-scale goal),,,,,,,,,,,,,
BASE CASE,Year1,Year2,Year3,Year4,Year5,,,,,,,
Units,5850,18000,40000,70000,110000,,,,,,,
Blended ASP,42,46,50,54,58,,,,,,,
Revenue,245700,828000,2000000,3780000,6380000,,,,,,,
Contribution margin %,48%,46%,45%,44%,44%,,,,,,,
Contribution $,117585,380880,900000,1663200,2807200,,,,,,,
Marketing + Opex,-29560,-238880,-520000,-1003000,-1707000,,,,,,,
Operating profit,88025,142000,380000,660200,1100200,,,,,,,
SKUs live (end of year),1,3,6,10,14,,,,,,,
Founder salary included?,No,Yes (~40k),Yes (~70k),Yes (~100k),Yes (~120k),,,,,,,
,,,,,,,,,,,,,
CONSERVATIVE,Year1,Year2,Year3,Year4,Year5,,,,,,,
Units,3510,9000,18000,32000,52000,,,,,,,
Revenue,147420,405000,900000,1696000,2964000,,,,,,,
Operating profit,33991,52000,135000,270000,495000,,,,,,,
,,,,,,,,,,,,,
DOWNSIDE,Year1,Year2,Year3,Year4,Year5,,,,,,,
Units,2050,3000,n/a,n/a,n/a,,,,,,,
Revenue,82000,126000,n/a,n/a,n/a,,,,,,,
Operating profit,4365,-15000,n/a,n/a,n/a,,,,,,,
Note,Product fails to gain traction; trigger exit/pivot by mid-Y2,,,,,,,,,,,
,,,,,,,,,,,,,
=== BLOCK E: KEY OUTPUTS ===,,,,,,,,,,,,,
Metric,Value,Notes,,,,,,,,,,
Recommended starting capital,CAD 40000 (USD ~28000),"Survives base & conservative; $30k survives base only, thin",,,,,,,,,
Break-even (contribution basis),Month 1,Contribution positive from first sales,,,,,,,,,,
Operating profitability (full year),Year 1 (base/conservative),Downside ~breakeven,,,,,,,,,,
Lowest cash point (base),USD 22000 at Month 4,Driven by US bulk-import PO,,,,,,,,,,
Genuinely phone-run + profitable,Month 5-6 (base),After Phase-1 setup complete,,,,,,,,,,
Reinvestment trigger,3 consecutive months contribution-positive + ROAS>=3x,Then fund next SKU from cashflow,,,,,,,,,,
Kill criteria,See Report 06,"e.g. <$25 CAC unreachable, samples fail gate, 6mo no traction",,,,,,,,,,
,,,,,,,,,,,,,
KICKSTARTER VARIANT (recommended launch),Effect,,,,,,,,,,,
Pre-sell PO1 via campaign,"Funds first production run before manufacturing; demand validated with real money",,,,,,,,,,,
Effect on lowest cash point,"Raises lowest-cash from ~$22k to ~$30k+ (PO1 no longer a cash drain)",,,,,,,,,,,
Effect on risk,"Removes the #1 failure mode (inventory over-order) - see Report 06",,,,,,,,,,,
Modeled here as,"Direct-launch (no KS) = conservative cash view; KS only improves it",,,,,,,,,,,
